Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
19,Findings,CV,BLFL,CVBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
20,Findings,CV,DRVFL,CVDRVFL,Derived Flag,Char,(NY),Record Qualifier,Used to indicate a derived record. The value should be Y or null.,Perm
21,Findings,CV,EXCLFL,CVEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
22,Findings,CV,REASEX,CVREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when CVEXCLFL is Y.,Perm
23,Findings,CV,USCHFL,CVUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of the performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
24,Findings,CV,DTC,CVDTC,Date/Time of Cardiovascular Test,Char,ISO 8601,Timing,"Date/Time of cardiovascular data collection, in ISO 8601 format. For measurements related to a continuous evaluation interval, CVDTC should be used to indicate the start date/time of that interval.",Exp
25,Findings,CV,ENDTC,CVENDTC,End Date/Time of Cardiovascular Test,Char,ISO 8601,Timing,"Date/Time of end of a cardiovascular evaluation interval, in ISO 8601 format. Should be populated when CVDTC represents the start date/time of a continuous evaluation interval.",Perm
26,Findings,CV,DY,CVDY,Study Day of Cardiovascular Test,Num,,Timing,"Study day of cardiovascular data collection, in integer days. For measurements related to a continuous evaluation interval, CVDY can be used to indicate start day of that interval. The algorithm for calculating the day must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
27,Findings,CV,ENDY,CVENDY,Study Day of End of Cardiovascular Test,Num,,Timing,"Study day of the end of a cardiovascular evaluation interval, in integer days. Can be populated when CVDY represents the start day of a continuous evaluation interval. The algorithm for calculating the day must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
28,Findings,CV,NOMDY,CVNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
29,Findings,CV,NOMLBL,CVNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of CVNOMDY as presented in the study report Examples: Pretreatment, Week 4, Day 28.",Perm
30,Findings,CV,TPT,CVTPT,Planned Time Point Name,Char,,Timing,"Text description of time when data should be collected. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See CVTPTNUM and CVTPTREF. Examples: Predose, 1 Hour Postdose.",Exp
31,Findings,CV,TPTNUM,CVTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of CVTPT to aid in sorting.,Exp
32,Findings,CV,ELTM,CVELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to a fixed time point reference (CVTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""-PT15M"" to represent the period of 15 minutes prior to the reference point indicated by CVTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by CVTPTREF.",Exp
33,Findings,CV,TPTREF,CVTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by CVELTM, if used for CVTPTNUM, and CVTPT. It is recommended that CVTPTREF be as descriptive as possible so the reference time point can be inferred without looking at others variables. Example: DAY 1 FIRST DOSE.",Exp
34,Findings,CV,RFTDTC,CVRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, CVTPTREF.",Perm
35,Findings,CV,EVLINT,CVEVLINT,Evaluation Interval,Char,ISO 8601,Timing,Length of evaluation interval in ISO 8601 duration format. Used in place of CVSTINT and CVENINT when CVTPTREF is not available.,Perm
36,Findings,CV,STINT,CVSTINT,Planned Start of Assessment Interval,Char,ISO 8601,Timing,"Planned start of an assessment interval relative to Time Point Reference (CVTPTREF) in ISO 8601 duration format. Example: When the evaluation interval is from 1 to 2 hours after dosing, the value would be PT1H.",Exp
37,Findings,CV,ENINT,CVENINT,Planned End of Assessment Interval,Char,ISO 8601,Timing,"Planned end of an assessment interval relative to Time Point Reference (CVTPTREF) in ISO 8601 duration format. Example: When the evaluation interval is from 1 to 2 hours after dosing, the value would be PT2H.",Exp
1,Findings,RE,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,RE,DOMAIN,DOMAIN,Domain Abbreviation,Char,RE,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,RE,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all application or submissions involving the product.,Req
4,Findings,RE,SEQ,RESEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,RE,GRPID,REGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject and can be used to support relationships within the domain and between domains using RELREC. This is not the treatment group number.,Perm
6,Findings,RE,SPID,RESPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier.,Perm
7,Findings,RE,TESTCD,RETESTCD,Test Short Name,Char,(SRETSTCD),Topic,"Short name of the measurement, test, or examination described in RETEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in RETESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). RETESTCD cannot contain characters other than letters, numbers, or underscores. Examples: RESPRATE, TIDALVOL, MV.",Req
8,Findings,RE,TEST,RETEST,Test Name,Char,(SRETST),Synonym Qualifier,"Long name for RETESTCD. The value in RETEST cannot be longer than 40 characters. Examples: Respiratory Rate, Tidal Volume, Minute Volume.",Req
9,Findings,RE,POS,REPOS,Position of Subject During Test,Char,(POSITION),Record Qualifier,"Position of the subject during the measurement or examination, If the subject is restrained, populate with the position (example SITTING or STANDING); otherwise, populate with UNCONSTRAINED.",Exp
10,Findings,RE,ORRES,REORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
11,Findings,RE,ORRESU,REORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
12,Findings,RE,STRESC,RESTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from REORRES in a standard format or standard units. RESTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in RESTRESN.",Exp
13,Findings,RE,STRESN,RESTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; contains the numeric form of RESTRESC. RESTRESN should store all numeric test results or findings.,Exp
14,Findings,RE,STRESU,RESTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for RESTRESC and RESTRESN.,Exp
15,Findings,RE,STAT,RESTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in REORRES.,Perm
16,Findings,RE,REASND,REREASND,Reason Not Done,Char,,Record Qualifier,"Describes why RESTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
17,Findings,RE,METHOD,REMETHOD,Method of Test,Char,,Record Qualifier,"Method of the test or examination. Examples: Whole body plethysmograph, Head-out plethysmograph, Invasive.",Exp
18,Findings,RE,CSTATE,RECSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"Consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS",Exp
19,Findings,RE,BLFL,REBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
20,Findings,RE,DRVFL,REDRVFL,Derived Flag,Char,(NY),Record Qualifier,Used to indicate a derived record. The value should be Y or null.,Perm
21,Findings,RE,EXCLFL,REEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
22,Findings,RE,REASEX,REREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when REEXCLFL is Y.,Perm
23,Findings,RE,USCHFL,REUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of the performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
24,Findings,RE,DTC,REDTC,Date/Time of Respiratory Measurement,Char,ISO 8601,Timing,"Date/Time of respiratory data collection, in ISO 8601 format. For measurements related to a continuous evaluation interval, REDTC should be used to indicate the start date/time of that interval.",Exp
25,Findings,RE,ENDTC,REENDTC,End Date/Time of Respiratory Measurement,Char,ISO 8601,Timing,"Date/Time of end of the respiratory evaluation interval, in ISO 8601 format. Should be populated when REDTC represents the start date/time of a continuous evaluation interval.",Perm
26,Findings,RE,DY,REDY,Study Day of Respiratory Measurement,Num,,Timing,"Study day of respiratory data collection, in integer days. For measurements related to a continuous evaluation interval, REDY can be used to indicate start day of that interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
27,Findings,RE,ENDY,REENDY,End Study Day of Respiratory Measurement,Num,,Timing,"Study day of the respiratory data collection, in integer days. Can be populated when REDY represents the start day of a continuous evaluation interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
28,Findings,RE,NOMDY,RENOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
29,Findings,RE,NOMLBL,RENOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of RENOMDY as presented in the study report. Examples: Pretreatment, Week 4, Day 28.",Perm
30,Findings,RE,TPT,RETPT,Planned Time Point Name,Char,,Timing,"Text description of time when respiratory data should be collected. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See RETPTNUM and RETPTREF. Examples: Predose, 1 Hour Postdose.",Exp
31,Findings,RE,TPTNUM,RETPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of RETPT to aid in sorting.,Exp
32,Findings,RE,ELTM,REELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to a fixed time point reference (RETPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""-PT15M"" to represent the period of 15 minutes prior to the reference point indicated by RETPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by RETPTREF.",Exp
33,Findings,RE,TPTREF,RETPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by REELTM, if used for RETPTNUM, and RETPT. It is recommended that RETPTREF be as descriptive as possible so the reference time point can be inferred without looking at others variables. Example: DAY 1 FIRST DOSE.",Exp
34,Findings,RE,RFTDTC,RERFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, RETPTREF.",Perm
35,Findings,RE,EVLINT,REEVLINT,Evaluation Interval,Char,ISO 8601,Timing,Length of evaluation interval in ISO 8601 duration format. Used in place of RESTINT and REENINT when RETPTREF is not available.,Perm
36,Findings,RE,STINT,RESTINT,Planned Start of Assessment Interval,Char,ISO 8601,Timing,"Planned start of an assessment interval relative to Time Point Reference (RETPTREF) in ISO 8601 duration format. Example: When the evaluation interval is from 1 to 2 hours after dosing, the value would be PT1H.",Exp
37,Findings,RE,ENINT,REENINT,Planned End of Assessment Interval,Char,ISO 8601,Timing,"Planned end of an assessment interval relative to Time Point Reference (RETPTREF) in ISO 8601 duration format. Example: When the evaluation interval is from 1 to 2 hours after dosing, the value would be PT2H.",Exp
1,Trial Design,TE,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TE,DOMAIN,DOMAIN,Domain Abbreviation,Char,TE,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TE,ETCD,ETCD,Element Code,Char,,Topic,ETCD (the short form of ELEMENT) is limited to 8 characters and does not have special character restrictions.,Req
4,Trial Design,TE,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,The name of the Element.,Req
5,Trial Design,TE,STRL,TESTRL,Rule for Start of Element,Char,,Rule,Expresses rule for beginning Element.,Req
6,Trial Design,TE,ENRL,TEENRL,Rule for End of Element,Char,,Rule,Expresses rule for ending Element. Either TEENRL or TEDUR must be present for each Element; both may be present.,Perm
7,Trial Design,TE,DUR,TEDUR,Planned Duration of Element,Char,ISO 8601,Timing,Planned duration of Element in ISO 8601 format. Use when an Element represents a fixed duration. TEENRL or TEDUR must be present for each Element; both may be present.,Perm
1,Trial Design,TA,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TA,DOMAIN,DOMAIN,Domain Abbreviation,Char,TA,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TA,ARMCD,ARMCD,Planned Arm Code,Char,,Topic,Short name of a specific ARM (may be up to 20 characters) used for sorting and programming. Should be populated in Demographics when Arms have been defined in this domain.,Req
4,Trial Design,TA,ARM,ARM,Description of Planned Arm,Char,,Synonym Qualifier,"Descriptive name given to a specific Trial Arm (e.g., Low Dose, Mid Dose, 10 mg/kg/day dose).",Req
5,Trial Design,TA,ETORD,TAETORD,Order of Element within Arm,Num,,Timing,Number that provides the order of the planned Element within the Arm. This value should be an integer.,Req
6,Trial Design,TA,ETCD,ETCD,Element Code,Char,,Record Qualifier,ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions.,Req
7,Trial Design,TA,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,The name of the Element.,Perm
8,Trial Design,TA,BRANCH,TABRANCH,Branch,Char,,Rule,"Conditions subjects meet, occurring at the end of an Element, which cause an Arm to branch off from other Arms (e.g., randomization to control group).",Perm
9,Trial Design,TA,TRANS,TATRANS,Transition Rule,Char,,Rule,"If the study design allows for a subject to transition to an Element other than the next sequential Element, as defined by TAETORD, then the conditions for transitioning to those other Elements, as well as the alternative Element sequences, are specified in this rule (e.g., TATRANS = 'Subject with Hypoactivity Transitions to Rest Period to Treatment 2').",Perm
10,Trial Design,TA,EPOCH,EPOCH,Trial Epoch,Char,,Timing,"Name of the study Epoch with which this Element of the Arm is associated (e.g., Treatment, Screen). Equivalent to 'Phase' or 'Period.'",Exp
1,Trial Design,TX,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TX,DOMAIN,DOMAIN,Domain Abbreviation,Char,TX,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TX,SETCD,SETCD,Set Code,Char,,Identifier,Short name of the Trial Set. The same element may occur more than once within an Arm. Maximum 8 characters. This represents the Trial Set for which parameters are being submitted.,Req
4,Trial Design,TX,SET,SET,Set Description,Char,,Synonym Qualifier,"Long description of a specific Trial Set, as defined by the sponsor.",Req
5,Trial Design,TX,SEQ,TXSEQ,Sequence Number,Num,,Identifier,Unique number for this record within this dataset. (This sequence should be unique within the entire dataset because there is no USUBJID.),Req
6,Trial Design,TX,PARMCD,TXPARMCD,Trial Set Parameter Short Name,Char,(STSPRMCD),Topic,Short character value for the Trial Set parameter described in TXPARM. Maximum 8 characters.,Req
7,Trial Design,TX,PARM,TXPARM,Trial Set Parameter,Char,(STSPRM),Synonym Qualifier,Term for the Trial Set parameter. Maximum 40 characters.,Req
8,Trial Design,TX,VAL,TXVAL,Trial Set Parameter Value,Char,,Result Qualifier,"Value of the Trial Set parameter (e.g., Fed ad libitum or Restricted Feeding when TXPARM is FEEDREG). Some parameters may be subject to controlled terminology. See the Controlled Terms, Codelist, or Format column in Section 7.4.2 that lists all defined Trial Set parameters.",Req
1,Trial Design,TS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study within the submission.,Req
2,Trial Design,TS,DOMAIN,DOMAIN,Domain Abbreviation,Char,TS,Identifier,Two-character abbreviation for the domain most relevant to the observation.,Req
3,Trial Design,TS,SEQ,TSSEQ,Sequence Number,Num,,Identifier,"Sequence number used to ensure uniqueness within a TSPARMCD. Allows inclusion of multiple records for the same TSPARMCD, and can be used to join related records.",Req
4,Trial Design,TS,GRPID,TSGRPID,Group Identifier,Char,,Identifier,Used to tie together a group of related records. This is not the sponsor?defined protocol group number.,Exp
5,Trial Design,TS,PARMCD,TSPARMCD,Trial Summary Parameter Short Name,Char,(STSPRMCD),Topic,Short character value for the trial design characteristic described in TSPARM. Value must be 8 characters or less.,Req
6,Trial Design,TS,PARM,TSPARM,Trial Summary Parameter,Char,(STSPRM),Synonym Qualifier,Term for the trial parameter. Value must be 40 characters or less.,Req
7,Trial Design,TS,VAL,TSVAL,Parameter Value,Char,,Result Qualifier,"Value of the TS parameter (e.g., ""FDA"" when TSPARM is GLP Type). The values for some parameters may be subject to controlled terminology. See the Controlled Terms, Codelist, or Format column in Section 7.6.3 that lists all defined parameters. TSVAL can only be null if TSVALNF is populated.",Exp
8,Trial Design,TS,VALNF,TSVALNF,Parameter Null Flavor,Char,(NULLFLAVOR),Record Qualifier,"Null flavor for the value of the TSPARMs, which should be included according to the trial summary code table below if and only if TSVAL is null.",Perm
1,Relationship,RELREC,STUDYID,STUDYID,Study Identifier,Char,,,Unique identifier for a study.,Req
2,Relationship,RELREC,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Relationship,RELREC,USUBJID,USUBJID,Unique Subject Identifier,Char,,,"Unique Subject Identifier of the Parent record(s). Either USUBJID or POOLID must be populated, except for certain domain-to-domain relationships (see Section 8.2.3).",Exp
4,Relationship,RELREC,POOLID,POOLID,Pool Identifier,Char,,,"Pool Identifier of the Parent record(s). If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Relationship,RELREC,IDVAR,IDVAR,Identifying Variable,Char,,,Name of the identifying variable in the general observation class domain that identifies the related record(s). Examples include BWSEQ and BWGRPID.,Req
6,Relationship,RELREC,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,,"Value of identifying variable described in IDVAR. For example, if BWSEQ is the variable being used to describe this record, then the value of BWSEQ would be entered here.",Exp
7,Relationship,RELREC,RELTYPE,RELTYPE,Relationship Type,Char,(RELTYPE),,Identifies the hierarchical level of the records in the relationship. Values are only necessary when identifying a relationship between domains (as described in Section 8.4). Values should be either ONE or MANY.,Perm
8,Relationship,RELREC,RELID,RELID,Relationship Identifier,Char,,,Unique value within a study that identifies the relationship. RELID can be any value the sponsor chooses and is only meaningful within the df dataset to identify the related/associated domain records.,Req
1,Relationship,SUPPQUAL,STUDYID,STUDYID,Study Identifier,Char,,,Unique study identifier of the parent record(s).,Req
2,Relationship,SUPPQUAL,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Relationship,SUPPQUAL,USUBJID,USUBJID,Unique Subject Identifier,Char,,,Unique subject identifier of the parent record(s). Either USUBJID or POOLID must be populated.,Exp
4,Relationship,SUPPQUAL,POOLID,POOLID,Pool Identifier,Char,,,"Pool identifier of the Parent record(s).. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Relationship,SUPPQUAL,IDVAR,IDVAR,Identifying Variable,Char,,,"Identifying variable in the dataset that identifies the related record(s). Examples: BWSEQ, CLGRPID.",Exp
6,Relationship,SUPPQUAL,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,,Value of identifying variable of the parent record(s).,Exp
7,Relationship,SUPPQUAL,QNAM,QNAM,Qualifier Variable Name,Char,,,"The short name of the Qualifier variable, which is used as a column name in a domain view with data from the parent domain. The value in QNAM cannot be longer than 8 characters nor can it start with a number (e.g., ""1TEST"" is not valid). QNAM cannot contain characters other than letters, numbers, or underscores. This will often be the column name in the sponsor's operational dataset. The value in QNAM may not be the same as any variable name defined in another domain or the SDTM. The QNAM should uniquely correspond to a QLABEL within a single domain.",Req
8,Relationship,SUPPQUAL,QLABEL,QLABEL,Qualifier Variable Label,Char,,,This is the long name or label associated with QNAM. The value in QLABEL should be in title case and cannot be longer than 40 characters. This will often be the column label in the sponsor's operational dataset.,Req
9,Relationship,SUPPQUAL,QVAL,QVAL,Data Value,Char,,,"Result of, response to, or value associated with QNAM. A value for this column is required; no records can be in SUPP-- with a null value for QVAL.",Req
10,Relationship,SUPPQUAL,QORIG,QORIG,Origin,Char,,,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE. See Section 3.2.2.1.",Perm
11,Relationship,SUPPQUAL,QEVAL,QEVAL,Evaluator,Char,,,"Used only for results that are subjective (i.e., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include PATHOLOGIST or VETERINARIAN, etc.",Perm
1,Relationship,POOLDEF,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Relationship,POOLDEF,POOLID,POOLID,Pool Identifier,Char,,Identifier,Identifier used for pooling subjects to assign a single finding to multiple subjects.,Req
3,Relationship,POOLDEF,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify across all studies for all applications or submissions involving the product.,Req
